File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
00314	0.27869	0.23288	0.17391	0.13281	0.11333	
00405	0.53333	0.66667	0.69048	0.61538	0.55000	
00486	0.23333	0.09677	0.09195	0.09259	0.10000	
01018	0.28788	0.16429	0.13636	0.13306	0.13103	
02358	0.57895	0.65909	0.62121	0.55952	0.51000	
02571	0.43590	0.26667	0.15152	0.14881	0.14500	
02747	0.23077	0.00000	0.00000	0.00000	0.00000	
04954	0.18519	0.10345	0.07879	0.07843	0.08085	
05062	0.22727	0.17308	0.16000	0.15104	0.14783	
05146	0.17500	0.15306	0.07246	0.07143	0.06842	
05585	0.41667	0.22500	0.15417	0.12500	0.10933	
05765	0.37500	0.50000	0.38462	0.31731	0.30400	
08416	0.37500	0.28378	0.22973	0.21786	0.20000	
08512	0.26984	0.19277	0.13492	0.10671	0.09744	
08606	0.06923	0.04706	0.04878	0.03710	0.02740	
09329	0.78947	0.67500	0.49123	0.37500	0.35294	
09696	0.18519	0.18493	0.14762	0.15152	0.15161	
10184	0.32353	0.34211	0.26126	0.21429	0.21212	
10782	0.41667	0.27273	0.26667	0.25000	0.25000	
10995	0.25862	0.14865	0.11261	0.10764	0.11176	
11148	0.35484	0.20270	0.21905	0.20455	0.20000	
12251	0.38462	0.38462	0.34722	0.35227	0.37000	
12868	0.35484	0.20000	0.15152	0.15323	0.15862	
12957	0.29730	0.24468	0.17037	0.16279	0.15122	
13119	0.42222	0.29839	0.24590	0.21983	0.19630	
13419	0.25926	0.17742	0.11111	0.10268	0.09615	
15133	0.28571	0.38462	0.30556	0.31818	0.34000	
15357	0.30189	0.21429	0.19444	0.18860	0.18519	
16646	0.23810	0.14912	0.11782	0.10619	0.09725	
16656	0.29508	0.27922	0.25641	0.24662	0.22609	
16776	0.30508	0.26056	0.17157	0.14453	0.14483	
16929	0.35714	0.27536	0.20773	0.15809	0.14242	
16953	0.40541	0.30769	0.22807	0.22222	0.21765	
19552	0.38095	0.28261	0.26984	0.25000	0.25882	
21105	0.18182	0.33333	0.37500	0.42857	0.50000	
22703	0.40984	0.32317	0.27004	0.23667	0.21690	
23043	0.33333	0.12500	0.00000	0.00000	0.00000	
23051	0.31034	0.25974	0.14768	0.13333	0.12286	
23259	0.41176	0.31250	0.26667	0.28571	0.27692	
23663	0.40625	0.39706	0.28283	0.27344	0.26452	
23809	0.00000	0.00000	0.00000	0.00000	0.00000	
24152	0.28070	0.15942	0.15493	0.15580	0.14545	
24933	0.43750	0.33333	0.28571	0.26923	0.26667	
25133	0.36364	0.25000	0.18841	0.16279	0.16500	
25605	0.36364	0.26562	0.26437	0.28846	0.30435	
25717	0.32609	0.21296	0.12579	0.11765	0.11020	
27488	0.34884	0.18182	0.14103	0.14796	0.15652	
28076	0.33333	0.17857	0.10256	0.10417	0.10909	
28300	0.36000	0.20370	0.14667	0.10870	0.10476	
28391	0.32258	0.27778	0.29825	0.28125	0.30500	
28987	0.38571	0.21196	0.14184	0.11828	0.09890	
29089	0.13636	0.08475	0.04802	0.04204	0.03704	
29605	0.20833	0.71739	0.68182	0.66250	0.62222	
29772	0.60000	0.76316	0.78431	0.86667	0.90769	
30569	0.34483	0.28125	0.22917	0.20833	0.19259	
30680	0.12963	0.10000	0.05641	0.03689	0.03158	
32245	0.13636	0.00000	0.00000	0.00000	0.00000	
32785	0.25806	0.17143	0.06863	0.07031	0.07333	
32864	0.21053	0.22727	0.20721	0.19014	0.17647	
32902	0.19277	0.13208	0.09434	0.08252	0.07879	
32933	0.48485	0.48352	0.42105	0.36264	0.31954	
33131	0.46341	0.35000	0.35417	0.32065	0.28837	
34413	0.61538	0.60714	0.48718	0.45833	0.43636	
35595	0.32895	0.26415	0.19182	0.18000	0.16383	
35926	0.20833	0.09434	0.09333	0.08152	0.08095	
35929	0.23404	0.13158	0.05263	0.04630	0.04314	
36220	0.37500	0.22500	0.13333	0.10526	0.06667	
36236	0.28571	0.16667	0.13333	0.12500	0.13333	
36415	0.44444	0.31148	0.21667	0.16964	0.15769	
36631	0.35849	0.22951	0.18391	0.17273	0.17308	
36926	0.27273	0.22500	0.20085	0.20000	0.20000	
37604	0.43243	0.34146	0.23333	0.22297	0.21765	
37669	0.21739	0.15789	0.11111	0.10112	0.08471	
37700	0.37500	0.14286	0.16667	0.20000	0.25000	
38011	0.22857	0.12500	0.10417	0.10345	0.10769	
38184	0.30000	0.20000	0.22807	0.23529	0.25333	
38329	0.65385	0.62500	0.53535	0.45968	0.42759	
40395	0.26000	0.15873	0.15819	0.17593	0.18776	
41564	0.25000	0.12222	0.08730	0.07051	0.07222	
41590	0.44000	0.21667	0.10000	0.07759	0.04286	
42347	0.35821	0.31319	0.22711	0.20349	0.18025	
42383	0.24096	0.14851	0.11224	0.10526	0.10889	
42430	0.33333	0.23438	0.21505	0.22414	0.22222	
42635	0.65217	0.52083	0.42424	0.42500	0.43333	
42651	0.26316	0.02564	0.01754	0.01389	0.01176	
43080	0.53333	0.75000	0.69231	0.70833	0.74545	
43526	0.50000	1.45833	1.46667	1.59375	1.65714	
43547	0.36765	0.24138	0.19608	0.17500	0.16000	
44618	0.32353	0.34615	0.26966	0.22647	0.20000	
45124	0.21250	0.14141	0.11785	0.10215	0.09767	
45576	0.35714	0.23469	0.24113	0.24432	0.22927	
46701	0.19048	0.10417	0.11594	0.12500	0.12381	
46832	0.34286	0.31944	0.31429	0.29545	0.28387	
47369	0.34783	0.34783	0.39683	0.40789	0.43529	
47379	0.21212	0.10494	0.05983	0.06507	0.06567	
47444	0.31579	0.20000	0.14035	0.08333	0.08235	
47855	0.34000	0.26562	0.16667	0.16949	0.16071	
48011	0.43750	0.36585	0.26667	0.21053	0.18333	
49000	0.30612	0.15517	0.16364	0.15385	0.14694	
