File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
00314	0.34426	0.13699	0.04348	0.01562	0.00000	
00405	0.73333	0.26667	0.21429	0.07692	0.00000	
00486	0.30000	0.00000	0.00000	0.00000	0.00000	
01018	0.31818	0.02857	0.00000	0.00000	0.00000	
02358	0.63158	0.36364	0.22727	0.09524	0.00000	
02571	0.56410	0.26667	0.11364	0.07143	0.02500	
02747	0.38462	0.00000	0.00000	0.00000	0.00000	
04954	0.27778	0.03448	0.00000	0.00000	0.00000	
05062	0.27273	0.03846	0.00000	0.00000	0.00000	
05146	0.37500	0.18367	0.02174	0.00000	0.00000	
05585	0.43333	0.17500	0.05000	0.01282	0.00000	
05765	0.37500	0.15385	0.03846	0.00000	0.00000	
08416	0.50000	0.28378	0.20270	0.17143	0.13636	
08512	0.36508	0.14458	0.07143	0.03659	0.02564	
08606	0.07692	0.04118	0.03049	0.01290	0.00685	
09329	0.78947	0.40000	0.10526	0.00000	0.00000	
09696	0.27778	0.04110	0.00000	0.00000	0.00000	
10184	0.41176	0.15789	0.05405	0.00000	0.00000	
10782	0.41667	0.00000	0.00000	0.00000	0.00000	
10995	0.46552	0.13514	0.04054	0.01389	0.00000	
11148	0.45161	0.08108	0.02857	0.00000	0.00000	
12251	0.50000	0.11538	0.00000	0.00000	0.00000	
12868	0.41935	0.11429	0.03030	0.00000	0.00000	
12957	0.43243	0.10638	0.00000	0.00000	0.00000	
13119	0.51111	0.22581	0.09836	0.03448	0.00000	
13419	0.31481	0.06452	0.00000	0.00000	0.00000	
15133	0.42857	0.15385	0.08333	0.00000	0.00000	
15357	0.39623	0.06349	0.00000	0.00000	0.00000	
16646	0.34524	0.14035	0.06897	0.04425	0.02752	
16656	0.37705	0.15584	0.05128	0.01351	0.00000	
16776	0.33898	0.14085	0.02941	0.00000	0.00000	
16929	0.42857	0.14493	0.05797	0.00000	0.00000	
16953	0.45946	0.12821	0.00000	0.00000	0.00000	
19552	0.47619	0.08696	0.04762	0.00000	0.00000	
21105	0.27273	0.00000	0.00000	0.00000	0.00000	
22703	0.45902	0.26829	0.17722	0.12000	0.09859	
23043	0.33333	0.12500	0.00000	0.00000	0.00000	
23051	0.41379	0.24675	0.08861	0.05333	0.02857	
23259	0.52941	0.12500	0.00000	0.00000	0.00000	
23663	0.46875	0.14706	0.03030	0.00000	0.00000	
23809	0.00000	0.00000	0.00000	0.00000	0.00000	
24152	0.31579	0.02899	0.00000	0.00000	0.00000	
24933	0.43750	0.00000	0.00000	0.00000	0.00000	
25133	0.38636	0.10417	0.04348	0.00000	0.00000	
25605	0.51515	0.15625	0.00000	0.00000	0.00000	
25717	0.41304	0.09259	0.00000	0.00000	0.00000	
27488	0.39535	0.07273	0.00000	0.00000	0.00000	
28076	0.33333	0.07143	0.00000	0.00000	0.00000	
28300	0.40000	0.14815	0.04000	0.00000	0.00000	
28391	0.33871	0.09524	0.05263	0.00000	0.00000	
28987	0.42857	0.16304	0.06383	0.03226	0.01099	
29089	0.23864	0.05085	0.00847	0.00000	0.00000	
29605	0.41667	0.04348	0.00000	0.00000	0.00000	
29772	0.65000	0.36842	0.17647	0.06667	0.00000	
30569	0.41379	0.15625	0.09375	0.06667	0.03704	
30680	0.29630	0.12308	0.03077	0.00000	0.00000	
32245	0.18182	0.00000	0.00000	0.00000	0.00000	
32785	0.48387	0.22857	0.05882	0.03125	0.00000	
32864	0.40351	0.22078	0.12162	0.07042	0.04412	
32902	0.22892	0.04717	0.00943	0.00000	0.00000	
32933	0.51515	0.32967	0.24211	0.17582	0.13793	
33131	0.51220	0.24000	0.16667	0.10870	0.06977	
34413	0.61538	0.28571	0.07692	0.00000	0.00000	
35595	0.40789	0.16038	0.03774	0.01000	0.00000	
35926	0.22917	0.05660	0.02000	0.00000	0.00000	
35929	0.31915	0.12281	0.01754	0.00000	0.00000	
36220	0.43750	0.20000	0.10000	0.05263	0.00000	
36236	0.28571	0.00000	0.00000	0.00000	0.00000	
36415	0.46296	0.19672	0.08333	0.01786	0.00000	
36631	0.47170	0.16393	0.05172	0.01818	0.00000	
36926	0.37879	0.10000	0.01282	0.00000	0.00000	
37604	0.48649	0.09756	0.00000	0.00000	0.00000	
37669	0.27536	0.10526	0.03226	0.01124	0.00000	
37700	0.37500	0.00000	0.00000	0.00000	0.00000	
38011	0.25714	0.02778	0.00000	0.00000	0.00000	
38184	0.35000	0.10000	0.05263	0.00000	0.00000	
38329	0.65385	0.37500	0.24242	0.16129	0.13793	
40395	0.30000	0.01587	0.00000	0.00000	0.00000	
41564	0.34091	0.06667	0.02381	0.00000	0.00000	
41590	0.44000	0.23333	0.06667	0.03448	0.00000	
42347	0.40299	0.17582	0.04396	0.01163	0.00000	
42383	0.26506	0.05941	0.01020	0.00000	0.00000	
